athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,18,25,Vasco,3,252,1,33,1,0,1,20,1,19,5,4,101,48,149,18,6,24,3,4,21,14,2,0,3,5,2,0,6,9,5,4,237,63,300,79,991,5,8,,0,0,1,0,0
0,,18,6,Corinthians,1,335,2,36,4,0,4,26,3,23,11.5,0,95,28,123,14,3,17,4,3,14,21,4,0,5,9,0,0,1,7,3,4,318,69,387,82.2,990,7,6,,0,0,0,0,1
0,,18,9,Cruzeiro,5,261,1,41,2,0,2,21,7,14,33.3,4,98,32,130,13,3,16,6,4,12,15,10,0,8,18,1,0,1,4,4,0,243,53,296,82.1,945,4,8,,0,0,1,0,0
0,,18,1,Flamengo,2,303,6,48,2,1,3,22,5,17,22.7,8,76,37,113,9,2,11,4,6,15,12,4,0,7,11,0,0,3,5,3,2,288,48,336,85.7,974,4,7,,0,0,0,0,1
0,,18,3,Atlético-PR,4,189,0,31,2,0,2,22,1,21,4.5,1,72,40,112,11,3,14,6,10,21,13,4,1,10,15,2,0,2,3,2,1,181,50,231,78.4,990,0,5,,0,0,1,0,0
0,,18,33,Ceará,4,256,0,24,5,0,5,26,5,21,19.2,2,64,34,98,14,0,14,10,6,13,21,2,0,9,11,1,0,2,3,0,3,252,53,305,82.6,990,1,2,,0,0,0,0,1
0,,18,11,Fluminense,2,228,5,43,2,1,3,8,3,5,37.5,4,81,36,117,21,4,25,10,3,21,24,4,0,3,7,1,0,0,7,2,5,219,44,263,83.3,990,3,4,,0,0,0,1,0
0,,18,17,Palmeiras,3,305,3,44,5,0,5,23,7,16,30.4,3,96,28,124,24,3,27,3,10,24,21,5,0,9,14,1,0,2,6,3,3,294,55,349,84.2,990,3,2,,0,0,0,1,0
0,,18,22,Santos,4,268,2,51,1,0,1,12,2,10,16.7,5,83,38,121,15,3,18,8,5,20,18,2,0,9,11,2,0,2,2,1,1,266,54,320,83.1,990,3,1,,0,0,1,0,0
0,,18,29,Avaí,3,344,1,53,3,0,3,19,5,14,26.3,0,93,40,133,15,6,21,5,8,18,20,6,1,9,16,1,0,1,7,4,3,336,50,386,87,990,2,4,,0,0,0,0,1
